School Code,School Name,District Name,Block,Enrolled Students,Electricity Available,Drinking Water Facility,Separate Girls Toilet,Boys Toilet,Mid Day Meal Served,Grain Quantity Procured,Procurement Unit,Attendance Rate,Average Marks,Annual Dropout Rate
SCH-1197,Sarvodaya Kanya School 197,Lake Plateau,Block Alpha,588,Nahi,true,N,Yes,Nahi,20.7,quintal,61.9,61.2,20.7
SCH-1198,Sarvodaya Kanya School 198,North Valley,Block Alpha,92,Hai,Yes,Nahi,N,0,790.6,kg,93.9%,75.6,20.4
SCH-1199,Model Primary School 199,East Coast,Block Beta,506, ha ,N,No,Y,false,5.9,Qtl,78.4%,39.1,15.2
SCH-1200,Zila Parishad School 200,North Valley,Block Delta,369,No,N,Y,true,Nahi,14.2,Quintals,57.7,40.3,11.3
SCH-1201,Model Primary School 201,Lake Plateau,Block Epsilon,331,1,Yes,0,Yes,Hai,1.34,Ton,87.3,25.1,18.9
SCH-1202,Adarsh Vidyalaya 202,North Valley,Block Beta,622,Hai,0,Nahi,Yes,1,1123.4,KG,44.4,51.0,25.2
SCH-1203,Govt High School 203,Central Zila,Block Alpha,597,1,  Yes  ,0,Y,false,0.41,Ton,77.8%,43.4,24.0
SCH-1204,Zila Parishad School 204,Lake Plateau,Block Gamma,405,Nahi,No,Hai,Y,Hai,2773.8,kg,73.6,54.4,12.3
SCH-1205,Model Primary School 205,West Plain,Block Gamma,554,No,Y,Y,1,  Yes  ,29.3,Qtl,79.6%,77.7,10.2
SCH-1206,Model Primary School 206,East Coast,Block Delta,605,Yes,  Yes  ,No,No,1,33.4,Quintals,88.1,31.0,4.2
SCH-1207,Govt High School 207,North Valley,Block Alpha,307,1,Hai,0,N,  Yes  ,3294.0,KG,46.5,29.7,27.9
SCH-1208,Zila Parishad School 208,South Hill,Block Alpha,419,Y,Yes,Nahi,Yes,1,1.63,Ton,81.1,51.9,10.9
SCH-1209,Adarsh Vidyalaya 209,East Coast,Block Delta,232,Yes,false,false,false,Hai,1173.8,KG,0.64,42.6,5.1
SCH-1210,Sarvodaya Kanya School 210,South Hill,Block Epsilon,99,0, ha ,N,Nahi,true,18.0,quintal,91.3,36.3,10.0
SCH-1211,Adarsh Vidyalaya 211,North Valley,Block Delta,622,N,false,Hai,1,Y,2367.7,kg,56.4,28.5,27.9
SCH-1212,Zila Parishad School 212,East Coast,Block Beta,260,Hai,false,N, ha , ha ,32.2,Qtl,43.5,60.5,16.4
SCH-1213,Zila Parishad School 213,Central Zila,Block Gamma,259,Nahi,Yes,Y,Yes,Hai,0.92,Ton,70.4%,82.8,6.8
SCH-1214,Model Primary School 214,East Coast,Block Alpha,102,1,false, ha ,1,Y,19.4,quintal,61.7%,69.4,19.0
SCH-1215,Adarsh Vidyalaya 215,East Coast,Block Gamma,219,1, ha ,0,  Yes  ,Nahi,1247.0,KG,80.2,63.7,11.0
SCH-1216,Model Primary School 216,West Plain,Block Gamma,381,1,1, ha ,Yes, ha ,1.49,Ton,0.96,63.0,25.9
SCH-1217,Model Primary School 217,Lake Plateau,Block Epsilon,186,Nahi,1,N, ha ,Y,1344.5,kg,59.3,76.8,19.3
SCH-1218,Adarsh Vidyalaya 218,West Plain,Block Alpha,351,Hai,Hai, ha ,Y,N,28.0,Qtl,80.9%,52.6,12.6
SCH-1219,Zila Parishad School 219,West Plain,Block Delta,439,true,0,Y,Nahi,false,2702.2,KG,54.2,27.1,2.0
SCH-1220,Govt High School 220,North Valley,Block Gamma,254,0,1, ha ,Y,true,13.2,Quintals,95.2,52.2,18.8
SCH-1221,Zila Parishad School 221,South Hill,Block Alpha,183,N,Hai,Hai,0, ha ,2.58,Ton,81.4,40.0,2.8
SCH-1222,Zila Parishad School 222,South Hill,Block Alpha,449,Yes,0,Y,No,  Yes  ,2180.7,KG,52.8%,35.8,9.2
SCH-1223,Govt High School 223,East Coast,Block Delta,562,Nahi,  Yes  ,No,Y,  Yes  ,1.48,Ton,62.0,27.8,13.2
SCH-1224,Adarsh Vidyalaya 224,Central Zila,Block Alpha,234, ha ,  Yes  ,Y,Y,  Yes  ,28.7,Qtl,64.4,28.8,11.8
SCH-1225,Sarvodaya Kanya School 225,Lake Plateau,Block Delta,666,Hai,Nahi,No,Y,0,25.6,quintal,69.1,67.7,17.9
SCH-1226,Zila Parishad School 226,South Hill,Block Beta,296,Hai,1,Yes,0,Y,1636.8,KG,95.9,41.2,25.6
SCH-1227,Govt High School 227,North Valley,Block Delta,649,0,true,N,No,true,3226.6,Kilograms,42.7,74.2,4.5
SCH-1228,Sarvodaya Kanya School 228,Central Zila,Block Epsilon,182,Y,false,Y,No,true,31.0,Qtl,56.3,54.8,6.1
SCH-1229,Sarvodaya Kanya School 229,Central Zila,Block Delta,119,0,N, ha ,Hai,Yes,1768.2,KG,56.5,75.0,9.7
SCH-1230,Govt High School 230,South Hill,Block Beta,387, ha ,Nahi,N,No, ha ,2196.4,Kilograms,46.8,50.7,14.3
SCH-1231,Adarsh Vidyalaya 231,North Valley,Block Epsilon,242,Y,No, ha ,true,0,2775.7,kg,70.3,80.1,6.8
SCH-1232,Govt High School 232,West Plain,Block Alpha,449, ha ,Hai,No,N,Nahi,1.51,Ton,91.8,55.8,13.3
SCH-1233,Zila Parishad School 233,Central Zila,Block Epsilon,438,N,1,No, ha , ha ,11.4,Quintals,62.9,85.8,24.2
SCH-1234,Model Primary School 234,East Coast,Block Delta,605,Yes,  Yes  ,Yes,Nahi,1,771.6,KG,85.2,84.4,20.4
SCH-1235,Adarsh Vidyalaya 235,West Plain,Block Delta,437,Nahi,No,Hai,Nahi,No,1918.1,KG,0.76,88.0,27.1
SCH-1236,Sarvodaya Kanya School 236,Lake Plateau,Block Epsilon,703,No,No,  Yes  ,Y,Nahi,13.1,Quintals,56.9,66.3,26.7
SCH-1237,Model Primary School 237,South Hill,Block Epsilon,326,Yes,false,0,  Yes  ,N,661.8,KG,43.4,82.1,12.2
SCH-1238,Sarvodaya Kanya School 238,Lake Plateau,Block Epsilon,274,N, ha , ha ,Hai,  Yes  ,2.31,Ton,67.7,43.9,6.0
SCH-1239,Sarvodaya Kanya School 239,South Hill,Block Gamma,179,Nahi,1, ha ,No, ha ,20.4,quintal,91.3,66.2,7.4
SCH-1240,Adarsh Vidyalaya 240,West Plain,Block Gamma,460,No,false,No,Nahi,Y,377.1,Kilograms,76.3,54.7,6.7
SCH-1241,Zila Parishad School 241,Central Zila,Block Gamma,503,Yes,1,1,Hai,N,3457.7,Kilograms,90.2,79.3,6.3
SCH-1242,Adarsh Vidyalaya 242,Lake Plateau,Block Beta,400,  Yes  ,Yes,Yes,Nahi,No,2711.9,kg,51.1,73.1,3.8
SCH-1243,Zila Parishad School 243,West Plain,Block Delta,568,0,Yes,Yes,true,Hai,1431.2,KG,42.8,37.0,19.4
SCH-1244,Model Primary School 244,South Hill,Block Gamma,399,1,Y,0,true,false,7.5,Qtl,86.5,70.9,17.3
SCH-1245,Model Primary School 245,East Coast,Block Delta,447,Hai,1,0,Yes,Hai,2599.7,kg,49.1,35.6,11.2
SCH-1246,Govt High School 246,West Plain,Block Gamma,627,false,Yes,false,Yes,  Yes  ,23.6,Quintals,43.1,49.0,16.0
SCH-1247,Model Primary School 247,South Hill,Block Alpha,388,0,  Yes  ,Y,  Yes  ,true,22.6,Qtl,79.8,57.2,17.9
SCH-1248,Govt High School 248,West Plain,Block Beta,703,Hai,No,true,Hai,N,1552.2,KG,50.7,68.4,14.2
SCH-1249,Govt High School 249,Lake Plateau,Block Alpha,193,false,  Yes  ,Nahi,1,Y,18.9,quintal,81.1%,41.1,7.6
SCH-1250,Adarsh Vidyalaya 250,East Coast,Block Delta,131,Y,1,Yes,No,Nahi,24.3,quintal,100%,12.5,26.0
SCH-1251,Model Primary School 251,Lake Plateau,Block Beta,416,N,Nahi,false,No, ha ,14.3,Quintals,60.5%,50.2,13.6
SCH-1252,Zila Parishad School 252,West Plain,Block Beta,195,1, ha , ha ,Yes,1,15.7,Quintals,73.9,36.4,11.6
SCH-1253,Govt High School 253,Lake Plateau,Block Beta,574,Nahi,Y,0,Nahi,Yes,10.6,Quintals,59.0,73.4,16.8
SCH-1254,Adarsh Vidyalaya 254,Central Zila,Block Epsilon,713,Y,0,  Yes  , ha ,Hai,1341.0,Kilograms,78.5,60.2,27.7
SCH-1255,Model Primary School 255,Central Zila,Block Delta,587,1,Y,Nahi,N,Hai,34.0,Qtl,44.7,50.4,7.7
SCH-1256,Sarvodaya Kanya School 256,West Plain,Block Alpha,590,Nahi,N,Y,Nahi, ha ,258.6,KG,63.8%,59.6,23.4
SCH-1257,Sarvodaya Kanya School 257,Lake Plateau,Block Gamma,600,true,Hai,  Yes  ,  Yes  ,Nahi,14.0,Qtl,44.9,60.3,17.9
SCH-1258,Adarsh Vidyalaya 258,Lake Plateau,Block Delta,196,Y,  Yes  ,Hai,Yes,N,29.4,Qtl,94.1,69.2,2.7
SCH-1259,Model Primary School 259,Lake Plateau,Block Delta,189,No,false,Hai,Hai,Y,15.0,quintal,66.7,31.8,12.5
SCH-1260,Sarvodaya Kanya School 260,North Valley,Block Delta,548,  Yes  ,false,true,1,Nahi,19.5,Quintals,44.6,55.4,15.0
SCH-1261,Model Primary School 261,Lake Plateau,Block Epsilon,257, ha ,1,Y,0,  Yes  ,2.2,Ton,59.4,63.4,19.9
SCH-1262,Zila Parishad School 262,East Coast,Block Gamma,543,1,1,0,false, ha ,1890.6,KG,87.5,71.4,16.2
SCH-1263,Model Primary School 263,Central Zila,Block Gamma,433,  Yes  ,1, ha ,  Yes  ,1,1.99,Ton,76.4,60.4,16.9
SCH-1264,Zila Parishad School 264,Lake Plateau,Block Epsilon,372,0,Yes,true,Y,Yes,679.6,Kilograms,78.2,35.1,9.1
SCH-1265,Govt High School 265,Lake Plateau,Block Gamma,288,true,Yes,N,Nahi,Y,3.06,Ton,81.9,60.4,7.8
SCH-1266,Adarsh Vidyalaya 266,Lake Plateau,Block Alpha,470,0,0,  Yes  ,N,true,2.4,Quintals,55.6,79.8,23.5
SCH-1267,Adarsh Vidyalaya 267,Central Zila,Block Epsilon,697,Hai, ha ,Hai,No,Nahi,3445.4,kg,46.0,32.5,2.6
SCH-1268,Adarsh Vidyalaya 268,South Hill,Block Beta,678,No,Yes,N,Nahi, ha ,331.8,kg,92.1,64.4,23.8
SCH-1269,Sarvodaya Kanya School 269,Central Zila,Block Gamma,154, ha ,N,true,Hai,1,0.42,Ton,69.3,30.8,7.4
SCH-1270,Adarsh Vidyalaya 270,East Coast,Block Gamma,380,Hai,false,true,Nahi,true,26.8,quintal,77.1%,46.8,7.9
SCH-1271,Sarvodaya Kanya School 271,South Hill,Block Alpha,408,0,Y,0,No,true,1133.3,KG,91.2,75.6,13.3
SCH-1272,Model Primary School 272,East Coast,Block Epsilon,164,Y,1,true,true,Yes,416.1,KG,78.2,51.7,4.3
SCH-1273,Zila Parishad School 273,Lake Plateau,Block Alpha,237,Yes,Nahi, ha ,N,Yes,4.4,Quintals,0.52,76.8,25.6
SCH-1274,Zila Parishad School 274,Lake Plateau,Block Delta,523,N,Yes,0,  Yes  ,Y,0.22,Ton,80.9%,72.0,2.7
SCH-1275,Adarsh Vidyalaya 275,Central Zila,Block Alpha,376,  Yes  ,No,false,Y,No,32.6,quintal,0.63,34.8,7.3
SCH-1276,Sarvodaya Kanya School 276,East Coast,Block Beta,385,  Yes  , ha ,  Yes  ,N,Yes,3.09,Ton,49.6%,61.1,11.9
SCH-1277,Govt High School 277,East Coast,Block Beta,432,Hai,0,  Yes  ,true,1,807.2,kg,75.3,67.3,16.5
SCH-1278,Sarvodaya Kanya School 278,West Plain,Block Epsilon,154,No,  Yes  ,Y,No,Y,2594.4,kg,68.3,66.3,4.2
SCH-1279,Model Primary School 279,East Coast,Block Delta,541,N,false,  Yes  ,No, ha ,0.7,Ton,72.6,35.6,9.8
SCH-1280,Zila Parishad School 280,East Coast,Block Gamma,217,  Yes  , ha ,N,Nahi,Nahi,1383.8,Kilograms,58.5,63.2,23.8
SCH-1281,Model Primary School 281,Central Zila,Block Beta,349, ha ,  Yes  ,Y, ha ,Nahi,30.0,Quintals,100%,12.5,26.0
SCH-1282,Adarsh Vidyalaya 282,Central Zila,Block Epsilon,563,  Yes  ,1,N,0,Hai,21.5,quintal,88.3%,56.6,3.9
SCH-1283,Govt High School 283,Lake Plateau,Block Beta,708,  Yes  ,1,true,1,Nahi,791.2,kg,93.2,71.4,14.3
SCH-1284,Model Primary School 284,West Plain,Block Beta,144,No,N,Hai,Yes,  Yes  ,1909.0,kg,84.7,80.5,2.6
SCH-1285,Govt High School 285,Lake Plateau,Block Epsilon,728,No, ha ,No,false,true,0.77,Ton,77.3,77.6,15.2
SCH-1286,Model Primary School 286,Central Zila,Block Delta,441,N,Nahi,Nahi,false,Yes,3.11,Ton,65.8,42.7,5.5
SCH-1287,Sarvodaya Kanya School 287,Lake Plateau,Block Alpha,315,0,N, ha ,Y,Nahi,1780.1,KG,53.4,26.4,2.6
SCH-1288,Model Primary School 288,South Hill,Block Epsilon,120,false,1,Yes,1,No,1904.9,kg,63.9,80.3,20.8
SCH-1289,Govt High School 289,South Hill,Block Delta,701,Nahi,Nahi,1,Hai,0,0.67,Ton,73.5,57.2,5.9
SCH-1290,Zila Parishad School 290,Central Zila,Block Epsilon,150,Hai,0,0,1,Y,8.7,Quintals,88.4,34.4,4.1
SCH-1291,Sarvodaya Kanya School 291,Central Zila,Block Alpha,624,true,Y,Y,Nahi,  Yes  ,3176.5,kg,71.1%,84.1,19.5
SCH-1292,Zila Parishad School 292,East Coast,Block Alpha,622,0,Hai,Nahi,0,N,2.86,Ton,91.0,51.8,8.2
SCH-1293,Govt High School 293,East Coast,Block Epsilon,636,0,No,Hai,Yes, ha ,2805.1,KG,73.2%,25.5,18.8
SCH-1294,Adarsh Vidyalaya 294,West Plain,Block Gamma,189,1,0,  Yes  ,false,No,30.2,Qtl,64.9,67.9,21.5
SCH-1295,Sarvodaya Kanya School 295,West Plain,Block Beta,459,true,true,Nahi,No,No,1.34,Ton,80.1,66.5,21.3
SCH-1296,Model Primary School 296,North Valley,Block Beta,600,0,N,true,false, ha ,2532.4,KG,0.51,30.7,5.4
SCH-1297,Zila Parishad School 297,North Valley,Block Alpha,349,Hai,N,Y,false,Yes,1468.3,KG,95.2,69.8,17.3
SCH-1298,Model Primary School 298,Lake Plateau,Block Delta,529,Yes,Hai,  Yes  ,true,No,310.9,kg,74.4,35.7,2.5
SCH-1299,Govt High School 299,South Hill,Block Alpha,362,0,N,  Yes  ,0,0,0.86,Ton,42.8,59.6,20.7
SCH-1300,Sarvodaya Kanya School 300,East Coast,Block Gamma,363,Hai,false,Hai,Nahi,0,0.22,Ton,51.5,56.7,10.5
SCH-1301,Sarvodaya Kanya School 301,East Coast,Block Epsilon,668,No, ha ,Nahi,0,Nahi,2740.9,Kilograms,100%,12.5,26.0
SCH-1302,Govt High School 302,East Coast,Block Alpha,471,  Yes  ,Hai,  Yes  , ha ,Hai,12.4,quintal,0.94,77.4,8.1
SCH-1303,Adarsh Vidyalaya 303,North Valley,Block Epsilon,262,Nahi,N,N,Hai,false,8.0,Qtl,82.3,71.4,7.7
SCH-1304,Adarsh Vidyalaya 304,South Hill,Block Beta,287,Hai,false,N,1,Y,32.4,Quintals,78.5,73.1,15.8
SCH-1305,Zila Parishad School 305,East Coast,Block Epsilon,402,Nahi,false,No,Nahi,1,32.2,quintal,57.1,28.4,22.7
SCH-1306,Sarvodaya Kanya School 306,North Valley,Block Epsilon,435,0,  Yes  ,1,Nahi,Y,1910.1,KG,59.0%,67.5,11.6
SCH-1307,Adarsh Vidyalaya 307,Central Zila,Block Gamma,271,true,No,Hai,No,Nahi,1.33,Ton,51.9,72.4,11.2
SCH-1308,Zila Parishad School 308,South Hill,Block Epsilon,214,false,  Yes  ,Hai,Y, ha ,28.5,Qtl,72.0,75.4,21.1
SCH-1309,Govt High School 309,South Hill,Block Delta,591,1,  Yes  ,true,true, ha ,27.9,Qtl,58.2,50.1,19.8
SCH-1310,Adarsh Vidyalaya 310,West Plain,Block Alpha,540, ha ,N,No,N,N,2.04,Ton,85.7,47.1,19.5
SCH-1311,Sarvodaya Kanya School 311,Central Zila,Block Epsilon,258,No,N,N,  Yes  ,true,2756.7,Kilograms,66.1%,63.7,13.8
SCH-1312,Model Primary School 312,Lake Plateau,Block Gamma,511,  Yes  ,false,false,0,Y,7.3,Quintals,54.3,41.9,18.6
SCH-1313,Zila Parishad School 313,East Coast,Block Epsilon,613,Nahi,0,1,1,Yes,2601.6,kg,77.7,30.0,5.9
SCH-1314,Govt High School 314,West Plain,Block Epsilon,135,Yes,0,true,Y,Y,22.4,Qtl,46.6,39.4,21.0
SCH-1315,Model Primary School 315,South Hill,Block Epsilon,254,Yes,Yes,  Yes  ,N,N,17.7,quintal,94.6,53.0,27.2
SCH-1316,Model Primary School 316,Central Zila,Block Epsilon,547,  Yes  , ha ,  Yes  ,false,0,2.31,Ton,70.8,39.3,3.9
SCH-1317,Zila Parishad School 317,East Coast,Block Beta,390,Yes,Yes,true,1,N,17.5,Qtl,42.4,55.1,1.7
SCH-1318,Adarsh Vidyalaya 318,Central Zila,Block Beta,87,true,N,Hai,0,true,1502.7,Kilograms,50.8,48.8,8.5
SCH-1319,Model Primary School 319,Central Zila,Block Epsilon,358,No,  Yes  , ha ,true,No,820.4,Kilograms,45.7%,32.0,13.6
SCH-1320,Sarvodaya Kanya School 320,West Plain,Block Beta,408,Yes,1,Yes,true,Yes,3408.7,kg,57.2%,52.6,1.7
SCH-1321,Govt High School 321,West Plain,Block Beta,430,0,No,Nahi,N,Nahi,2811.7,KG,59.8,28.5,22.1
SCH-1322,Zila Parishad School 322,South Hill,Block Beta,336,0,Yes,Y, ha ,Hai,2745.0,Kilograms,0.66,54.0,21.9
SCH-1323,Model Primary School 323,West Plain,Block Delta,399,N,1,  Yes  , ha ,Yes,3293.5,KG,70.1,37.5,25.0
SCH-1324,Model Primary School 324,North Valley,Block Beta,728,0,N,Yes,1,No,0.59,Ton,84.6%,27.6,22.3
SCH-1325,Sarvodaya Kanya School 325,South Hill,Block Gamma,171,Hai,1,Nahi,Y,  Yes  ,1.32,Ton,0.94,47.4,5.6
SCH-1326,Govt High School 326,South Hill,Block Delta,318,N,true,  Yes  ,N,Nahi,836.8,KG,79.2,81.6,14.4
SCH-1327,Adarsh Vidyalaya 327,Central Zila,Block Delta,274,false,1,true,N,N,1745.7,KG,88.9,35.1,15.6
SCH-1328,Adarsh Vidyalaya 328,Central Zila,Block Gamma,544,Yes,  Yes  ,true,0, ha ,3113.7,kg,75.5,45.2,3.2
SCH-1329,Zila Parishad School 329,South Hill,Block Epsilon,589,true,1,false,No,N,2315.0,Kilograms,0.48,77.6,4.9
SCH-1330,Model Primary School 330,North Valley,Block Delta,276,Y,Yes,false,  Yes  ,Nahi,1816.7,KG,100%,12.5,26.0
SCH-1331,Model Primary School 331,Lake Plateau,Block Delta,161,Nahi,  Yes  ,Yes,N,true,3296.2,KG,64.5,76.9,8.5
SCH-1332,Govt High School 332,East Coast,Block Alpha,301,true,Y,Y, ha ,Hai,1.47,Ton,52.4,84.7,16.3
SCH-1333,Govt High School 333,Lake Plateau,Block Epsilon,446,  Yes  ,Nahi, ha ,  Yes  ,0,7.5,Quintals,51.7,35.0,28.0
SCH-1334,Adarsh Vidyalaya 334,East Coast,Block Epsilon,412,N,0,  Yes  ,0, ha ,22.1,Qtl,72.4,83.3,8.2
SCH-1335,Zila Parishad School 335,West Plain,Block Alpha,115,No,false,Yes,true,1,2.2,Qtl,95.2,73.6,26.5
SCH-1336,Sarvodaya Kanya School 336,Central Zila,Block Epsilon,664,false,1,Y,Yes,Nahi,7.2,Qtl,56.3,41.1,9.5
SCH-1337,Sarvodaya Kanya School 337,South Hill,Block Alpha,412,Nahi,1,Nahi, ha , ha ,2.9,Ton,0.47,75.9,11.6
SCH-1338,Adarsh Vidyalaya 338,East Coast,Block Delta,506,Y,Hai, ha ,  Yes  ,false,22.9,Quintals,76.1%,58.0,10.0
SCH-1339,Adarsh Vidyalaya 339,Central Zila,Block Beta,236,Yes,  Yes  , ha ,0,Nahi,21.6,quintal,69.3,49.8,5.0
SCH-1340,Sarvodaya Kanya School 340,Lake Plateau,Block Alpha,641,0,No,Y,0,true,2753.6,Kilograms,49.0%,60.2,14.4
SCH-1341,Model Primary School 341,Central Zila,Block Epsilon,616,Hai,Hai,Y,No,0,24.6,Qtl,73.1%,51.1,11.2
SCH-1342,Adarsh Vidyalaya 342,Central Zila,Block Alpha,392,1,N,false,Nahi,false,1653.5,kg,91.9,34.8,20.8
SCH-1343,Govt High School 343,South Hill,Block Epsilon,231,No,Yes,N, ha ,Y,16.9,Qtl,43.2,37.8,15.4
SCH-1344,Zila Parishad School 344,Central Zila,Block Beta,98,0,false,  Yes  ,true,Nahi,7.6,Qtl,100%,12.5,26.0
SCH-1345,Zila Parishad School 345,Lake Plateau,Block Gamma,448,Y,Yes,No,  Yes  ,0,3433.3,kg,69.5,55.5,17.3
SCH-1346,Model Primary School 346,Central Zila,Block Delta,654, ha ,Yes,Yes,Hai,true,13.0,Qtl,63.2,47.2,18.1
SCH-1347,Sarvodaya Kanya School 347,East Coast,Block Alpha,720,No,0,Yes,true,No,700.6,kg,0.9,49.1,27.0
SCH-1348,Model Primary School 348,West Plain,Block Beta,666,1,0,No,false,N,1989.4,Kilograms,53.2%,59.1,22.7
SCH-1349,Adarsh Vidyalaya 349,Lake Plateau,Block Epsilon,218,0,1,  Yes  ,false,Nahi,4.2,Qtl,100%,12.5,26.0
SCH-1350,Adarsh Vidyalaya 350,West Plain,Block Delta,390,Nahi, ha ,  Yes  , ha ,No,2771.1,kg,47.8,63.6,8.6
SCH-1351,Model Primary School 351,Central Zila,Block Beta,316,  Yes  ,Yes,N,Y, ha ,17.7,quintal,69.1,48.6,24.1
SCH-1352,Model Primary School 352,South Hill,Block Beta,311,Yes,0,Yes,No,0,2649.8,kg,0.95,83.4,27.6
SCH-1353,Zila Parishad School 353,Lake Plateau,Block Gamma,548,Hai,0,0,Yes,false,2920.3,KG,80.9,61.0,15.7
SCH-1354,Govt High School 354,Central Zila,Block Alpha,542,Nahi,Yes,Hai,true,true,3446.6,Kilograms,44.1,85.6,6.5
SCH-1355,Adarsh Vidyalaya 355,East Coast,Block Delta,250,0,No,false,Yes, ha ,3.18,Ton,0.67,56.5,6.3
SCH-1356,Sarvodaya Kanya School 356,South Hill,Block Delta,503,N,Nahi,Yes,1,Nahi,3.16,Ton,0.9,45.4,18.7
SCH-1357,Model Primary School 357,Lake Plateau,Block Alpha,173,Y, ha ,Nahi,  Yes  ,N,19.3,Quintals,62.7,84.8,11.5
SCH-1358,Model Primary School 358,East Coast,Block Epsilon,233,1,1,1, ha ,Yes,1216.6,Kilograms,81.4,36.4,25.3
SCH-1359,Govt High School 359,Central Zila,Block Gamma,92,Nahi,Nahi,Nahi,true,Yes,3.11,Ton,54.8,50.8,3.6
SCH-1360,Model Primary School 360,Central Zila,Block Gamma,714,  Yes  ,true,Hai,Yes,1,381.7,kg,60.8%,27.0,16.8
SCH-1361,Adarsh Vidyalaya 361,North Valley,Block Alpha,191,0,1,1,  Yes  ,No,2.38,Ton,79.8,85.9,21.4
SCH-1362,Govt High School 362,North Valley,Block Gamma,410,N,0,Y,0,true,11.7,Quintals,49.3,58.2,15.4
SCH-1363,Sarvodaya Kanya School 363,North Valley,Block Alpha,665, ha ,  Yes  ,true,Y,Nahi,2472.6,KG,92.4,63.4,9.9
SCH-1364,Sarvodaya Kanya School 364,East Coast,Block Beta,709,false,Nahi,true, ha ,Nahi,1825.3,Kilograms,100%,12.5,26.0
SCH-1365,Govt High School 365,Lake Plateau,Block Beta,710,0,0,Yes,N,N,2.86,Ton,53.5,41.0,3.3
SCH-1366,Sarvodaya Kanya School 366,East Coast,Block Alpha,196,  Yes  ,N,N,0, ha ,2.23,Ton,43.6,46.3,19.3
SCH-1367,Govt High School 367,Lake Plateau,Block Beta,573,1,  Yes  ,Nahi,true,N,2787.2,Kilograms,64.4,43.9,20.7
SCH-1368,Sarvodaya Kanya School 368,North Valley,Block Beta,671,  Yes  ,N,N,Y,1,29.7,Qtl,60.3,35.5,17.6
SCH-1369,Govt High School 369,East Coast,Block Gamma,112,No,0,Y,Nahi,Hai,16.9,Qtl,93.3,32.1,22.3
SCH-1370,Govt High School 370,West Plain,Block Epsilon,105,Nahi,true,1,Hai,N,2617.1,Kilograms,70.3,79.9,23.3
SCH-1371,Model Primary School 371,South Hill,Block Alpha,550,0, ha ,true,Y,Yes,32.8,Qtl,0.79,54.4,2.7
SCH-1372,Adarsh Vidyalaya 372,North Valley,Block Epsilon,399,  Yes  ,Hai,N,Hai,Nahi,11.1,Qtl,100%,12.5,26.0
SCH-1373,Sarvodaya Kanya School 373,Central Zila,Block Epsilon,184,Hai,true,N,true,N,6.7,Qtl,80.0,29.5,17.8
SCH-1374,Zila Parishad School 374,North Valley,Block Beta,109,Nahi,  Yes  ,Yes,Y,0,4.8,Quintals,63.2,64.7,19.8
SCH-1375,Adarsh Vidyalaya 375,East Coast,Block Gamma,282, ha ,  Yes  ,true,Y,Nahi,0.63,Ton,85.9,53.7,19.6
SCH-1376,Zila Parishad School 376,West Plain,Block Beta,309,1,false,No,N,0,2508.7,kg,77.9,53.6,2.3
SCH-1377,Adarsh Vidyalaya 377,West Plain,Block Delta,254,No,N,false,false,1,0.54,Ton,86.1,65.9,22.5
SCH-1378,Zila Parishad School 378,Central Zila,Block Delta,324,false,Hai,true,1,Nahi,418.0,Kilograms,53.2,86.8,16.5
SCH-1379,Model Primary School 379,South Hill,Block Alpha,667,Nahi,Y,false,false,Nahi,20.3,Qtl,86.4,29.4,4.4
SCH-1380,Zila Parishad School 380,East Coast,Block Delta,740,  Yes  ,Yes,Y,Hai,1,3.18,Ton,76.4%,34.2,5.5
SCH-1381,Zila Parishad School 381,Central Zila,Block Epsilon,537,Hai,Hai,  Yes  ,N,No,2.82,Ton,78.7,70.2,25.8
SCH-1382,Sarvodaya Kanya School 382,North Valley,Block Epsilon,602,0,1,No,Yes,Nahi,3.39,Ton,100%,12.5,26.0
SCH-1383,Zila Parishad School 383,Lake Plateau,Block Epsilon,483,  Yes  ,N, ha ,0,0,1636.1,Kilograms,53.4,60.0,23.8
SCH-1384,Zila Parishad School 384,South Hill,Block Gamma,208,1,Yes,Y,  Yes  ,Yes,2580.4,kg,68.3,30.3,18.5
SCH-1385,Zila Parishad School 385,Lake Plateau,Block Epsilon,515,false,1,Nahi,true,0,2.91,Ton,62.8,25.5,14.7
SCH-1386,Sarvodaya Kanya School 386,East Coast,Block Delta,639,false,N,Yes,Yes,false,2526.1,Kilograms,48.1,34.0,20.9
SCH-1387,Adarsh Vidyalaya 387,West Plain,Block Epsilon,160,true,false,Y,Hai,Nahi,2647.6,KG,93.9%,64.9,22.6
SCH-1388,Govt High School 388,East Coast,Block Epsilon,91,Nahi,Nahi,true,Nahi,false,1294.0,KG,61.1,35.6,19.9
SCH-1389,Adarsh Vidyalaya 389,Lake Plateau,Block Epsilon,346,Yes,  Yes  ,Nahi,false,1,0.37,Ton,95.5,43.1,3.7
SCH-1390,Adarsh Vidyalaya 390,East Coast,Block Beta,710,No,No,No,Yes, ha ,21.9,Quintals,91.1,48.3,6.1
SCH-1391,Model Primary School 391,West Plain,Block Beta,620,Yes,N,Y,1,false,7.1,quintal,68.8,40.0,13.2
SCH-1392,Model Primary School 392,Central Zila,Block Gamma,135,  Yes  ,No,Y,Yes,1,1515.9,Kilograms,58.3,58.5,11.6
SCH-1393,Zila Parishad School 393,East Coast,Block Beta,623,0,Yes,No,Nahi,0,1241.8,KG,0.71,58.5,10.9
